t,cam_center_x,face_x_asignada,distancia
11.5333,542.0,540.8,1.2
11.5667,542.0,541.2,0.8
11.6000,542.0,541.5,0.5
11.6333,539.0,504.3,34.7
11.6667,533.0,467.2,65.8
11.7000,525.0,430.0,95.0
11.7333,517.0,430.0,87.0
11.7667,510.0,430.0,80.0
11.8000,504.0,430.0,74.0
11.8333,498.0,430.0,68.0
11.8667,492.0,430.0,62.0
11.9000,487.0,430.0,57.0
11.9333,483.0,430.0,53.0
11.9667,478.0,430.0,48.0
12.0000,475.0,430.0,45.0
12.0333,471.0,430.0,41.0
12.0667,468.0,430.0,38.0
12.1000,465.0,430.0,35.0
12.1333,462.0,430.0,32.0
12.1667,459.0,430.0,29.0
12.2000,457.0,430.0,27.0
12.2333,455.0,430.0,25.0
12.2667,453.0,430.0,23.0
12.3000,451.0,430.0,21.0
12.3333,449.0,430.0,19.0
12.3667,447.0,430.0,17.0
12.4000,446.0,430.0,16.0
12.4333,445.0,430.0,15.0
12.4667,444.0,430.0,14.0
12.5000,442.0,430.0,12.0
12.5333,441.0,430.0,11.0
12.5667,440.0,430.0,10.0
12.6000,440.0,430.0,10.0
12.6333,439.0,430.0,9.0
12.6667,438.0,430.0,8.0
12.7000,437.0,430.0,7.0
12.7333,437.0,430.0,7.0
12.7667,436.0,430.0,6.0
12.8000,436.0,430.0,6.0
12.8333,435.0,430.0,5.0
12.8667,435.0,430.0,5.0
12.9000,434.0,430.0,4.0
12.9333,434.0,430.0,4.0
12.9667,434.0,430.0,4.0
13.0000,433.0,430.0,3.0
13.0333,433.0,430.0,3.0
13.0667,433.0,430.0,3.0
13.1000,432.0,430.0,2.0
13.1333,432.0,430.0,2.0
13.1667,432.0,430.0,2.0
13.2000,432.0,430.0,2.0
13.2333,432.0,430.0,2.0
13.2667,431.0,430.0,1.0
13.3000,431.0,430.0,1.0
13.3333,431.0,430.0,1.0
13.3667,431.0,430.0,1.0
13.4000,431.0,430.0,1.0
13.4333,431.0,430.0,1.0
13.4667,431.0,430.0,1.0
13.5000,431.0,430.0,1.0
13.5333,430.0,430.0,0.0
13.5667,430.0,430.0,0.0
13.6000,430.0,430.0,0.0
13.6333,430.0,430.0,0.0
13.6667,430.0,430.0,0.0
13.7000,430.0,430.0,0.0
13.7333,430.0,430.0,0.0
13.7667,430.0,430.0,0.0
13.8000,430.0,430.0,0.0
